"eq_id","eq_nom","eq_ter_id","eq_jour","eq_ami_id","eq_coupe","eq_couleur","eq_couleur_ext","eq_soc_id","eq_commentaire"
"1","Créneau Libre",NULL,NULL,"0","0",NULL,NULL,"0",NULL
"2","SAP 1","3","mardi","19","1","Bleu / Blanc","Rouge","32","Nous avons aussi un entrainement le vendredi et preferons les terrains de mougins/valbonne/Eucas/roquefort/biot"
"3","BeMore","0","aucun","0","1","Rouge / Noir",,"13",
"4","Amadeus 5","1","lundi","34","1","Rose","Noir","46",
"5","Amadeus 14","1","lundi.jeudi","0","1","Orange","Vert","46",
"6","Oxya 1","0",,"0","1","Rouge",,"0",NULL
"7","Docapost 1","3","lundi.mercredi","0","1","Bleu","Rouge","18",
"8","Amadeus 17","1","vendredi","0","1","Bleu Ciel",,"46",
"9","Amadeus 1","1","lundi.mercredi","47","1","Blanc","Noir","46",
"10","ARM 2","3","mardi","52","1","Blanc","bleu","9",
"11","Amicale PNS","6","lundi.mercredi","15","1","Beige/Noir","Bleu/Orange","7",
"12","ST","4","aucun","0","1","Blanc / Bleu",,"36",
"13","Bealink","0","mardi","0","1","Blanc, violet et turquoise",,"17","Anciennement Crossknowledge"
"14","Sogeti High Tech","4","mardi","0","1","Rouge et Blanc",,"34","Merci Thibaut pour l'organisation"
"15","Air France 1","6","vendredi","11","1","Blancs",,"2",
"16","Ausy","1","vendredi","0","1","Rouge","Jaune","12",NULL
"17","Elocar","3","aucun","313","1","Blanc","Jaune","19",
"18","ASSCA 1","0","vendredi","0","1","Blanc",,"0",NULL
"19","SAP 2","3","mardi","2","0","Rouge","Bleu","32","Nous voudrions participer au championnat en Serie C. "
"20","Amadeus 8","1","aucun","0","1","Bleu","Orange","46",
"21","Storm Consulting","0","vendredi","0","1","Jaune","Or","37",NULL
"22","Atos 1","4","vendredi","0","1","Bleu",,"11",
"23","Amadeus 13","6","mercredi","20","1","Bleu Ciel",,"46",
"24","Silicon Mobility","3","mardi","0","1","Noir","Bleu","33",NULL
"25","WallStreet Systems","4","lundi","0","1","Blanc","Orange","44","Si possible, éviter la poule de Fortinet"
"26","Amadeus 12","4","mercredi","0","1","Bleu",,"0",NULL
"27","Amadeus 9","1","vendredi","0","1","Orange","Noir","46",
"28","Thales 1","3","mercredi","50","1","Vert / Blanc (Rayé)",,"39",
"29","Sopra 1","4",,"0","1","Rouge",,"0",NULL
"30","Airbus","4","vendredi","0","1","Bleu","Noir ou blanc","4",
"31","Appolonia","1","lundi.jeudi","11","1","Bleu",,"8",
"32","Amadeus 7","1","lundi.mercredi","0","0","Vert","Vert","46",
"33","Amadeus 15","1","lundi.jeudi","0","1","Turquoise","Noir","46",
"34","Amadeus 2","2","aucun","0","1","Rouge",,"46",
"35","Orange 1","0","jeudi","0","1","Orange / Noir",,"0",NULL
"36","Amadeus 3","6","mardi","0","0","Bleu",,"46",NULL
"37","CNAF","0","mardi","0","0","Grenat",,"15",
"38","Pro BTP","7","lundi","31","1","Jaune",,"30",
"39","Amadeus 6","1","aucun","0","1","Vert","Vert","46","Terrains de préférence: Fort Carré + Fontonne"
"40","CNRS 2","0",,"0","1","Bleu",,"16",NULL
"41","Accenture","3","lundi","17","1","Noir","rouge","60","Anciennement Fortinet 1"
"42","INRIA","0","vendredi","0","1","Rouge","bleu","23",
"43","Harvest","6","mercredi","0","1","Blanc",,"22",
"44","Galderma 1","5",,"0","1","Bleu Ciel","Gris","0",NULL
"45","Teach on Mars","3","mercredi","11","1","Jaune","Violet","38","Bon courage pour cette nouvelle saison :)"
"46","Alten","1","aucun","0","1","Rouge",,"6",
"47","Amadeus 11","5","vendredi","9","1","Rouge","Blanc","46",
"48","Amadeus 4","1","mardi.mercredi.jeudi","39","1","Jaune","Jaune","46","Salut Florian, comme l'année dernière nous aimerions privilégier le terrain de la Fontonne et plutôt jouer les lundis et jeudis, dans la mesure du possible bien sûr. Merci"
"49","Astek","5","vendredi","0","1","Vert",,"10",
"50","USAC","0","lundi","55","0","Blanc","Noir","43",
"51","Sopra 2","4","vendredi","0","1","Blanc",,"0",NULL
"52","ARM 1","3","mardi","10","1","Bleu","blanc","9","Nous souhaitons re-inscrire ARM1 en division C meme si nous etions promu en B car nous avons deja une equipe en B (ARM2). Merci"
"53","Alithya","0","jeudi","0","1","Bleu",,"5","Chauuuud !"
"54","Questel","3","lundi","70","0","Bleu / Or","Rouge","31",
"55","Thales 2","3","aucun","28","0","Vert / Blanc (Rayé)",,"39",
"56","CGI","4","aucun","61","1","Rouge",,"14",
"57","Amadeus 18","6","jeudi","0","1","Orange / Indigo",,"0",NULL
"58","Docapost 2","3","aucun","7","1","Blanc",,"18",
"59","CNRS 1","0","aucun","0","1","Bleu Marine",,"16",
"60","Air France 2","4","mardi","0","1","Blanc","Blanc","2","Merci de remplacer Philippe Ravaine par Julien Bourel jubourel@airfrance.fr"
"61","Amadeus 16","1","aucun","53","1","Bleu","Blanc","46",
"62","Cadence","0",,"0","1","Rouge / Blanc",,"0",NULL
"63","Orange 2","0","jeudi","0","1","Orange / Noir",,"0",NULL
"64","Itek","0",,"0","1","Noir",,"0",NULL
"65","Atos 2","6","vendredi","0","1","Bleu","Jaune","11",
"66","Fortinet 2","7","lundi","0","1","Blanc/Rouge",,"20",
"67","Kinaxia","0","lundi","0","1","Noir",,"0",NULL
"68","Transvalor/INEO Défense","3","mardi","0","1","Noir","Orange","41",NULL
"69","Amadeus 10","6","jeudi","0","1","Blanc / Rouge",,"46",
"70","Orange Labs","3","lundi","13","1","Orange","Blanc","28","Harvest & ProBTP aussi sont des équipes amis ... désolé on est ami  avec plein d'équipes"
"71","Sysnetics-Labs","0",,"0","1","Noir / Jaune Fluo",,"0",NULL
"72","ASSCA 2","0","mardi","0","1","Blanc",,"0",NULL
"73","Galderma 2","5",,"0","1","Bleu Ciel","Gris","0",NULL
"74","Vodafone","0","vendredi","0","0","Rouge",,"0",NULL
"75","Oxya 2","0",,"0","1","Vert / Blanc",,"0",NULL
"80","Intel 1",NULL,NULL,"0","1",NULL,NULL,"0",NULL
"81","Avisto",NULL,NULL,"0","1",NULL,NULL,"0",NULL
"87","Scaleo Chip",NULL,NULL,"0","1",NULL,NULL,"0",NULL
"94","Ficha-KS",NULL,NULL,"0","1",NULL,NULL,"0",NULL
"96","Pro BTP 1",NULL,NULL,"0","1",NULL,NULL,"0",NULL
"97","IQ SIM",NULL,NULL,"0","1",NULL,NULL,"0",NULL
"98","Ausy 1",NULL,"aucun","0","1","jaune","jaune","12",NULL
"103","Pro BTP 2",NULL,NULL,"0","1",NULL,NULL,"0",NULL
"104","Docapost",NULL,NULL,"0","1",NULL,NULL,"0",NULL
"106","Astek 2",NULL,NULL,"0","1",NULL,NULL,"0",NULL
"108","Sysnetic-labs",NULL,NULL,"0","1",NULL,NULL,"0",NULL
"110","Elsys Design",NULL,NULL,"0","1",NULL,NULL,"0",NULL
"114","Oxya",NULL,NULL,"0","0",NULL,NULL,"29",NULL
"120","Intel 2",NULL,NULL,"0","1",NULL,NULL,"0",NULL
"121","Altran",NULL,NULL,"0","1",NULL,NULL,"0",NULL
"125","C2R",NULL,NULL,"0","1",NULL,NULL,"0",NULL
"128","RTE Multimedia",NULL,NULL,"0","1",NULL,NULL,"0",NULL
"133","Sogeti France",NULL,NULL,"0","1",NULL,NULL,"0",NULL
"139","Fortinet",NULL,NULL,"0","1",NULL,NULL,"0",NULL
"143","Ricardo France",NULL,NULL,"0","1",NULL,NULL,"0",NULL
"144","Graphie 4",NULL,NULL,"0","1",NULL,NULL,"0",NULL
"148","INEO Défense",NULL,NULL,"0","1",NULL,NULL,"0",NULL
"150","Transvalor",NULL,NULL,"0","1",NULL,NULL,"0",NULL
"187","Elsys",NULL,NULL,"0","1",NULL,NULL,"0",NULL
"208","Ricardo",NULL,NULL,"0","1",NULL,NULL,"0",NULL
"225","RTE Services",NULL,NULL,"0","1",NULL,NULL,"0",NULL
"228","Amadeus 19",NULL,NULL,"0","1",NULL,NULL,"0",NULL
"230","Amical",NULL,NULL,"0","0",NULL,NULL,"0",NULL
"259","Sopra Steria","3","mardi","0","1","Blanc",,"35",
"264","Galderma",NULL,NULL,"0","1",NULL,NULL,"21",NULL
"265","Sopra Steria 2","3","mardi","0","1","Rouge","blanc","35",
"272","Septeo Proptech","3","lundi.mardi","295","0","Noir","Blanc","24","Anciennement Kinaxia 1"
"274","Orange SCE","4","vendredi","313","0","Orange / Noir",,"28","Equipe amie: Fortinet mais je ne la trouve pas dans la liste... "
"286","Nice ATC","0","jeudi","0","1","Blanc",,"25",
"287","INGEY","3","lundi.mardi","0","1","bleu / Vert","noir / blanc - orange - rouge","51",
"288","NXP","3","jeudi","0","1","bleu ciel",,"26",
"294","Kinaxia 2","4","jeudi","0","1","Blanc","Noir","24",
"295","AddixWare","0","aucun","0","1","Bleu marine",,"1",
"296","Ausy 2",NULL,NULL,"0","1",NULL,NULL,"12",NULL
"300","Sopra Steria 3","3","mardi","0","1","blanc",,"35",
"302","Travelaer",NULL,NULL,"0","0",NULL,NULL,"42",NULL
"303","Fenyx Consult","5","lundi.mercredi","0","1","Blanc","Blanc","45",
"304","Transperfect","3","aucun","0","1","Gris","Gris","40",
"305","Akka 2","0","lundi","0","0","TBD",,"3",
"306","Meilleurtaux.com","5","lundi.mardi","0","1","Orange ","Noir ","48",
"307","Bioparc and Co","5","aucun","0","1","jaune","blanc","49",
"308","Rugby Tag",NULL,NULL,"0","1",NULL,NULL,"0","Equipe créée pour prendre un créneau le vendredi à Chabert suite à la reconstruction du CIV"
"309","rabie","0","aucun","0","1","blanc","bleu","35",
"310","Wealth Squad","3","vendredi","0","1","Jaune/Vert",,"52",
"311","Oticon Medical","5","aucun","0","1","Orange","Blanc","53",
"313","CE Fortinet","0","lundi","41","1","rouge","noir","20",
"314","Celeste","4","jeudi","0","1","Bleu","Rose","59",
"315","Inetum","0","aucun","0","1","Bleu","Blanc","62",
"317","Symphony","1","vendredi","32","1","Bleu",,"63","Bonjour, on va se faire de maillots mais a priori on sera en bleu (je vous confirmerai). Je vais vous envoyer un document a remplir pour vous regler la cotisation."
